City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
622,Batticaloa,LK,77.74,overcast clouds,7.7102,81.6924,Grand Star Guest House
629,Kupang,ID,78.48,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
639,Victor Harbor,AU,79.72,broken clouds,-35.5667,138.6167,McCracken Country Club
651,Saquarema,BR,78.82,few clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
653,Quatre Cocos,MU,81.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
655,Hervey Bay,AU,80.04,few clouds,-25.2986,152.8535,Shelly Bay Resort
663,Saint-Joseph,RE,77.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
667,Sumbe,AO,76.23,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
669,Amapa,BR,73.22,light rain,1.0,-52.0,name
671,Kirakira,SB,80.35,light rain,-10.4544,161.9205,SanBiz Lodge
676,Formosa,AR,80.58,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
678,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Poutur Pousada
679,Lasem,ID,75.02,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
680,Gorontalo,ID,74.21,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
681,Waingapu,ID,79.02,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
682,Denpasar,ID,78.46,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
685,Anloga,GH,81.32,broken clouds,5.7947,0.8973,Pin Drop Hotel
691,Port-Gentil,GA,80.76,overcast clouds,-0.7193,8.7815,Fengshui Residence
692,Kangaba,ML,75.27,clear sky,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
694,Mocuba,MZ,72.09,light rain,-16.8392,36.9856,Phama Lodge
701,Bahia De Caraquez,EC,77.9,overcast clouds,-0.6,-80.4167,Saiananda Eco-Hotel
703,Whitianga,NZ,72.01,clear sky,-36.8333,175.7,Beachside Resort Whitianga
704,Harper,LR,77.81,broken clouds,4.375,-7.7169,Screensaver
705,Kudahuvadhoo,MV,80.49,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
709,Nadapuram,IN,72.36,scattered clouds,11.7,75.6667,Fabina Garden
714,Arawa,PG,82.0,overcast clouds,-6.2132,155.5367,Coastline Guest House
721,Carlagan,PH,76.84,overcast clouds,14.975,122.0456,Cabatagan Island
722,Byron Bay,AU,75.87,broken clouds,-28.65,153.6167,Backpackers Inn
723,Melchor De Mencos,GT,72.43,broken clouds,17.0686,-89.1522,Xultun Farm
727,Tonantins,BR,73.81,moderate rain,-2.8731,-67.8022,Hotel Rei Davi
731,Goure,NE,72.01,clear sky,13.9835,10.2704,name
732,Richards Bay,ZA,75.79,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
733,Maraa,BR,76.39,overcast clouds,-1.8333,-65.3667,name
734,Pedernales,DO,78.94,clear sky,18.0384,-71.744,Hotel Costa Marina
737,Acandi,CO,78.66,scattered clouds,8.5063,-77.2778,Hotel Patio Bonito
743,Mormugao,IN,72.03,clear sky,15.4,73.8,Coconut Creek Resort
