City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
207,Teya,RU,60.3778,92.6267,-20.76,100,18,3.51,few clouds
208,Safita,SY,34.8205,36.1153,47.59,86,4,1.9,clear sky
209,Burnie,AU,-41.0667,145.9167,74.95,57,83,2.33,broken clouds
210,Makhachkala,RU,42.9764,47.5024,33.78,58,10,2.37,clear sky
211,Ulaangom,MN,49.9811,92.0667,-29.2,97,97,2.17,overcast clouds
212,Carutapera,BR,-1.195,-46.02,76.35,93,100,6.08,moderate rain
213,Bafq,IR,31.6128,55.4107,45.7,47,0,5.55,clear sky
214,Waipawa,NZ,-41.4122,175.5153,59.45,68,100,13.06,overcast clouds
215,Pemba,MZ,-12.974,40.5178,78.64,85,37,4.41,scattered clouds
216,Ust-Nera,RU,64.5667,143.2,-35.36,96,58,1.21,broken clouds
217,Rondonopolis,BR,-16.4708,-54.6356,75.09,89,85,1.63,overcast clouds
218,Nuuk,GL,64.1835,-51.7216,7.41,85,100,4.61,overcast clouds
219,Camocim,BR,-2.9022,-40.8411,79.63,82,32,14.63,scattered clouds
220,Caravelas,BR,-17.7125,-39.2481,76.19,85,82,5.95,broken clouds
221,Thurso,GB,58.5927,-3.5259,40.95,92,100,4.23,overcast clouds
222,Yatou,CN,37.15,122.3833,34.84,96,100,10.54,snow
223,Cidreira,BR,-30.1811,-50.2056,69.22,93,100,4.18,overcast clouds
224,Herborn,DE,50.6833,8.3167,45.41,76,75,10.36,broken clouds
225,Vao,NC,-22.6667,167.4833,79.74,83,100,7.78,overcast clouds
226,Mandeville,JM,18.0417,-77.5071,73.45,69,39,4.85,scattered clouds
227,Bubaque,GW,11.2833,-15.8333,78.08,68,3,12.82,clear sky
228,Sechura,PE,-5.5569,-80.8222,78.98,62,56,14.76,broken clouds
229,Petatlan,MX,17.5167,-101.2667,85.8,47,100,4.83,overcast clouds
230,Verkhnyaya Inta,RU,65.9811,60.3094,3.38,86,97,5.57,overcast clouds
231,Tual,ID,-5.6667,132.75,80.31,77,100,5.17,overcast clouds
232,Medicine Hat,CA,50.0501,-110.6683,46.72,38,71,3.0,broken clouds
233,Celestun,MX,20.8667,-90.4,71.92,74,85,22.77,overcast clouds
234,Najran,SA,17.4924,44.1277,54.01,45,12,3.09,few clouds
235,Reo,BF,12.3167,-2.4667,76.03,11,1,9.55,clear sky
236,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,59,0,10.36,clear sky
237,Beaverlodge,CA,55.2166,-119.4361,33.89,73,100,7.61,overcast clouds
238,Bara,NG,10.3744,10.7288,73.36,17,7,9.42,clear sky
239,La Reforma,MX,25.0833,-108.05,86.09,33,100,10.13,overcast clouds
240,Robat Karim,IR,35.4846,51.0829,40.86,60,0,23.02,clear sky
241,Portobelo,PA,9.55,-79.65,85.86,84,49,10.69,scattered clouds
242,Santa Maria Del Oro,MX,25.9333,-105.3667,60.28,16,100,6.04,overcast clouds
243,Aiken,US,33.5835,-81.5998,55.58,36,0,10.36,clear sky
244,Losone,CH,46.1687,8.7593,41.45,78,15,0.0,few clouds
245,Meulaboh,ID,4.1363,96.1285,76.23,88,95,5.06,moderate rain
246,Kenai,US,60.5544,-151.2583,34.03,95,100,4.61,mist
247,Bambous Virieux,MU,-20.3428,57.7575,81.21,85,87,13.94,light rain
248,San Patricio,US,28.017,-97.5169,66.61,23,35,5.37,scattered clouds
249,Balvi,LV,57.1313,27.2658,30.07,80,100,10.85,overcast clouds
250,Sioux Lookout,CA,50.1001,-91.917,0.72,84,100,4.47,overcast clouds
251,Tashtyp,RU,52.7939,89.8983,3.27,98,100,0.38,overcast clouds
252,Genhe,CN,50.7833,121.5167,-13.07,99,93,1.74,overcast clouds
253,Soc Trang,VN,9.6033,105.98,75.16,78,61,12.33,broken clouds
